id,text,label
1351263067657662464,"#PS4share

https://t.co/kEYMVxGv8J https://t.co/A6TSujp4E6",playstation
1351263066462236672,"@79thCrown Thanks for the ❤! 

We’ll tweet you on January 21st when the Resident Evil Showcase opens its doors. 

If you own a PS4/PS5, redeem this code in PlayStation Store to get your free PS Avatar! #REShowcase #REVillage https://t.co/n8lpGwqh2o",playstation
1351263066047053825,"DMO 2021 quedo bestial   #PS4share

https://t.co/16GyXSR9MW https://t.co/7T6YLGIt9Q",playstation
1351263060313440256,Check out my broadcast from my PlayStation 4! #PS4live (Call of Duty®: Modern Warfare®)  live at https://t.co/Hyn7zuC3ib,playstation
1351263058866429960,@sleepboycarti PlayStation spielen mit homies oder bin bei freundin,playstation
1351263054084726785,"頑張ったー
 #PS4share

https://t.co/0aDijLUpLb https://t.co/XnhNv1kHno",playstation
1351263053430607874,"i finally got this 2 touch after 3 days

https://t.co/x9SAxasiwI https://t.co/K52CU3yBjh",playstation
1351263046140911620,"RT @kfcgaming: What do you play on?

PC            PlayStation         Xbox
 👇                   👇                 👇",playstation
1351263040755412993,Check out my broadcast from my PlayStation 4! #PS4live (Fortnite)  live at https://t.co/fE5xUbR8UM,playstation
1351263039622967298,"RT @spieltimes: 🚀 Spiel Times X OctoShop GIVEAWAY! 🚀

🇺🇸US ONLY

Prize:
PlayStation 5 Digital (#PS5) 🔥🔥🔥

How To Enter:

🚨 Get the OctoShop…",playstation
1351263035760013316,"#PS4share

https://t.co/AHdTyP6Jro https://t.co/OssBZNBsFT",playstation
1351263035340550147,"RT @AmineMaTue: Salut 🙋🏻‍♂️

Voila je vous offre 4 gros lots pour 4 gagnants, un par lot.

Pour Participer il suffit de : 
- RT le tweet 
-…",playstation
1351263028113596417,"#PS4share

https://t.co/ZRzi8x2cHG https://t.co/LVKWmn6ki0",playstation
1351263026524028930,"？ #PS4share

https://t.co/Iy9kmlySvq https://t.co/Bfky64hqr0",playstation
1351263023118344197,¡Echa un vistazo a mi transmisión desde mi PlayStation 4! #PS4live (The Forest)  live at https://t.co/NMsSTE1Ixb,playstation
1351263020551467009,"RT @burgerlly: #مسابقه⁩ السحب على جهاز 
#بلاستيشن5
 #PS5  #PlayStation

• الشروط 
ـ متابعة حساب تويتر : burgerlly 
ـ رتويت للتغريدة 
.
.
#ش…",playstation
1351263019108610051,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/yJ1IMFuwdZ,playstation
1351263015719620608,Check out my broadcast from my PlayStation 4! #PS4live (Hatsune Miku: Project DIVA Future Tone)  live at https://t.co/nFd6BDjoQ9,playstation
1351263014725459972,"RT @PlayStation_jp: 最新作『バイオハザード　ヴィレッジ』をはじめ、
シリーズ最新情報をお届けする「バイオハザード・ショーケース」を
PlayStation Japanの公式Youtubeチャンネルで配信！

1月22日午前7時配信開始！⇒https://t.…",playstation
1351263010182946817,RT @Latekun1: PlayStation 4からブロードキャストを始めました！ #PS4live (Apex Legends)  live at https://t.co/PHafb67DMW,playstation
1351263010145370113,@DGDemon187 @4ustinXVI @Roguerivals @RogueCompany @Rococonsoleonly In our first two events a all Playstation team has finished Top 3 and Top 4. And had a very legitimate chance of winning if they didn't make crucial in game mistakes. We understand that Console &amp; PC are different but both ha e advantages &amp; Disadvantages.,playstation
1351263009667219456,Living with josh really tests my patience when he’s on that bloody PlayStation 🙃😂,playstation
