category,title,price,urlitem,urlimage
bracelet,Kabbalah Red String Bracelet  tying instructions  Ben Porat prayer Protection,£1.48,https://www.ebay.co.uk/itm/Kabbalah-Red-String-Bracelet-tying-instructions-Ben-Porat-prayer-Protection/271487398753?hash=item3f35e8f361:g:EGIAAOxyoA1RNzZE,https://i.ebayimg.com/thumbs/images/g/EGIAAOxyoA1RNzZE/s-l225.jpg
bracelet,7 Chakra Natural Gemstone Bracelet 7'' Elasticated Healing Stone Chakra Jewelry,£6.59,https://www.ebay.co.uk/itm/7-Chakra-Natural-Gemstone-Bracelet-7-Elasticated-Healing-Stone-Chakra-Jewelry/283945425184?_trkparms=ispr%3D1&hash=item421c775920:g:7LsAAOSwvmZfAGcm&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk7PdDazAlGltMLJlUhrWsDycjPSZXRvx6%252FKPN9fyFbOTtGT2bCfpubDcZjoQ94bO4cAvv4obxnhGAh%252BDJrec%252B4FEaSoC3ezecUXfc2cuPs5yAK1OofpvAYqarPcqE8S1xRNzkrzO9RJJDN22eSnRPE3c%252BSYoqHje88u3U9kcqACkHT3Kqf4cPurM3bj9YGalwphi3SEr1gMpx3Yl83Vvp2BaLv0vl0%252B8PCuiNrphPMYjhsJx1%252F56DT8BWuRt7hJwCYXyjM3r%252F1M9sPKhRshqoFUaK7aZUfZYjKsu8xJ8juiK5FSAcCRS5lgs761ln9avkITMKpRah9oIOezZlloGOZt14UyUO6IqA4iiRMHDfcLPM2nEWgVTYDms3Zhqj%252FHNH84hd1yY0uMRrJ9NKjae2bBiIM6NJBzLrI1wvS5bJIiuBcMgI1gSqo%252Fziuku8edkjK%252Fm%252B%252FFbEjcU6o7Gr82DEnngzP5qnwt%252BJtw5mqAlxu6BT32Xt1my4B3rN9XByQWqn44nVBUKbCB9XT0TZj1aZUR78xGVJagqnKmrTnnZ%252FwABg10gpxHblBGG%252BFIMuPlB%252FKgBHCKO4lA%252BZvYv54e8B6iNe7FZJ50QnLTZT1WjSYHP51W%252FgEzAJfpGhi1y3bvjXe%252BaJVrC44p4gayaXMhoucL2W5Zz8tv%252BvM9pj1TptM6GhcLPDQdcLMI6DzNMzZJj2V7eUSYCBoJpxGg965%252BZxWb%252BrkSiZ1lXQI%252BGZuibOvx%252Bs8fZsL%252F7qLWsOjqSpr%252BTIvjAIzWqB88C5FFEFNEpmOw%253D%253D%7Ccksum%3A2839454251848bb4f49108ef4571ac2e65d3dae1cfd8%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/7LsAAOSwvmZfAGcm/s-l225.jpg
bracelet,7 Chakra Natural Stone Bracelet Bangle Beaded Handmade Healing Charming Design,£4.99,https://www.ebay.co.uk/itm/7-Chakra-Natural-Stone-Bracelet-Bangle-Beaded-Handmade-Healing-Charming-Design/283901081394?_trkparms=ispr%3D1&hash=item4219d2b732:g:G2AAAOSwXXxe16fW&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk7PdDazAlGltMLJlUhrWsD3X6GYpfEL2D01OYiuQr5ol0z9G8bG68%252BzVCdnSyERg58ao8PKHRyWiBID9ya3dNslPDmHkHYnXUCJW5disabPMQ7iq8ZL%252FCwEEN%252FX1KMf8LiIWRZ29EZ2CLs8QqMDZUa0j9mNMzL7l5eEaa7hyDznF6BNPDif%252F9mEy9Q%252B3NnMso24lrWQpzvtsXEQlfNSjRxSeI%252FQ%252BOs7tWs2Fiq5S%252BDRgl5MdARJNbbHwSb5TsxXLj8d8U9Al7x25D43WxCa5%252FsTbe2ARpQ7RrVxXMx4msqn1Y%252BoanvaQ6rcio4PvPSeevKtOpNs1F%252BJYbrTeyR%252F7mbZ%252BLwj%252F1cDSYrM1NAFP6puvNvhYxQvqwnX2XKSPEqJB8s%252B%252FCmpeLNliOSX%252BGR3CSw51JXIHkUNp4zQZV5kP86Ntmu%252BmhzOlf%252BiAhAii1UDrlZ2o%252B7rTpefxjCBk4CqqHF7lXcgWd6UfNB4y5zoFQGu%252FCOKqloOpSqs54dXPnXJsTmIsx6rph4ltLmAhwCYB%252B573xUE%252FEu7laBUsehj5Vz5HqwQYb3E6RGtC6XecDwYaYXzk0f%252B7f8mDl4KSL1iqIN84VJZmMfEOTOAr4lTfewNGbKfw1oKhkaXZzppJPJCs2irMCQAVvvBHNcBOFO%252BXPGgaN4QcjlQcYG8p753J6tnwoPA4B2iI0YV0PtSB3uMikCkgK7ETJ3XyLVdWKqddpMV9URvg%252FDsi1OSAuBgthLDCd91wZG0DzWV%252BVTPMbckUJbDWqRErY%252BmLsBO34Q0bPwQ%253D%253D%7Ccksum%3A2839010813948bb4f49108ef4571ac2e65d3dae1cfd8%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/G2AAAOSwXXxe16fW/s-l225.jpg
bracelet,Islamic ALLAH الله Natural Stone Beads Muslim Charm Bracelet Bangle Wristband,£5.95,https://www.ebay.co.uk/itm/Islamic-ALLAH-Natural-Stone-Beads-Muslim-Charm-Bracelet-Bangle-Wristband/164205470596?_trkparms=ispr%3D1&hash=item263b68a384:g:-JEAAOSwfxRewaKL&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkfOCvCjTOBWK8pwriaolq5rqX9hF2OeEd0hTqdkg%252BEOwIdkDgCCQgqrHcaQi0I8qBsnL5i89yLnfFMaqhOAtoqg%252B1p%252BV4A7RRRkAtdTd%252F5cgAiy46%252FALYUnfNFpvY9WakxPlMhhsY0c1Cb10nk65VfyoYJMzz6jUlEqwi7NbUGpnmnvXuQS9pndu8JyGpjgy4qYyYdeenR61Nbyhh3NgMKVd%252BjbmLCVrNwQdWr4qSGKT2otRMl%252F2CPT%252F9HCM%252B2BzI2FoCdPayvbs1BruE0awgtvrYKgyo8rg7oRaFplltATzd3A4eVirPa9BuZju8VNMOm6pVB%252FsUrw9Grv2bgwWeK8vXrl%252BaF6hlzN0gsZtpHEtyW%252BZ5wCCB6yq8p4CtG%252BKoa5VXMLRkkohrO%252BvulSFsSiGHUtbYlyGc9szdamQ9i6R%252B0GakMMDtH4k38YDQ6I3tx8P%252BLiqXcw5KSEoHZujAfBkYDguwc5GBi55S4pYuBPfwxWwq7MsBqSjzfialYjVzqORAz1mHrXFND4ZYLSse4AMWFOUzis2t0HIn2sLZgDzOSD8v7N39LNM5jLlf5zP1A2un9hy2EPeNNiM9O25nLkm1w2TbeNzN322daTE5w460ktGyd0jFbufnkkVYBZ5BPgUYYJIoMSD1S38G8egeEt%252BSS%252Fnl2AieXq5jLy6jj41bUFMAHM60UtmuxLnz2upDbEcnhr26iPeNcpeFtl12tiqxfmutakU7SJmLi6XIy%252F1XORpif%252BQsFwSijbvMac%252BMeS9SunC1PhPIm0%252FgFuE02g%253D%253D%7Ccksum%3A1642054705968bb4f49108ef4571ac2e65d3dae1cfd8%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/-JEAAOSwfxRewaKL/s-l225.jpg
bracelet,Natural Crystal Pendulum Quartz Stone Pendant Chakra Healing Gemstone Earrings,£7.29,https://www.ebay.co.uk/itm/Natural-Crystal-Pendulum-Quartz-Stone-Pendant-Chakra-Healing-Gemstone-Earrings/283887145913?_trkparms=ispr%3D1&hash=item4218fe13b9:g:l-EAAOSwaaJex-CL&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk7PdDazAlGltMLJlUhrWsDwT%252BH8XXOLN1pGRZewoUQqtJLg1PoE%252Bdk96vXbm%252F7UOaArjrXqXARnAiRLHdbGuAQnFjevF7Nw8RSYkEzOpirvtV5l2jH%252B7O0KlwWipL638UyQ1gDtYUpEPJqE99IWE0gSSXaXqHnxGKeSkl%252Bbkj5eCfVfXW0cQ03Kz%252FQZFnAsWc3b%252FseU5vkHC5pHZGtiS7PFQd8d%252FM7nTn6vsUMq1UvgJ6CK3nEbVjSDra2hoKEwE4gCHPMz9G91Mvp1VeRzRnW68BMFlZQQdtUtl7ytcPw4vtzF43VrpVhxvZEifn7LA0DCzsGUO4xzz181S1Qpo%252BVL7e%252BWV4ly2AY5YIxKoOLzRneqe6GJP2neNY9bsbBeneamIhX9juH97b5AaNxI90IVBP2wirOXK3XWYu0htD%252BgdyZ6xQGAcQ5dpwD5WLwgn6Qxi7hNzgyON1pgtWdT2hSwW3CRFPWv%252BYAea3z8wGk7qEfzb4vOO%252FUmMnzDxSUwx%252FFvdqRnTX%252BbINX%252BgZrP3U3IF%252BHoxhaTNlXJT8kuDDaRu7zx3LccVzgEVdZQWvyxl13lYp4nhKRWtYJZp%252FKIEgc8RMf1D5RDAjITqA4tJoLVNZ0%252F%252BMvyDXyPm2thftP2EvN93QA33RgyoAuksx0jkJqtTpaKy9VqAzhyGGQPuZtXGP8sd64NKFDaFVc7%252BpbKeYskpqE4nFbdZkT%252BwWO%252BWB%252FtsvD9WjDF4OAHrOrxtVZlqqVGMV%252F1CHikO3jJ7HRGXciQPMIqfSQeIy1DiDT%252Fy7Uw%253D%253D%7Ccksum%3A2838871459138bb4f49108ef4571ac2e65d3dae1cfd8%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/l-EAAOSwaaJex-CL/s-l225.jpg
bracelet,Lovely Rosary Beads Necklace Bracelet Silver Tone Crucifix  35 Variation Colours,£0.99 to £2.99,https://www.ebay.co.uk/itm/Lovely-Rosary-Beads-Necklace-Bracelet-Silver-Tone-Crucifix-35-Variation-Colours/180993074399?hash=item2a240724df:g:mQoAAOxyi3FR2uxf,https://i.ebayimg.com/thumbs/images/g/mQoAAOxyi3FR2uxf/s-l225.jpg
bracelet,Natural Stone Crystal Amethyst Cluster Quartz Bracelet Jewelry Christmas Gift,£8.59,https://www.ebay.co.uk/itm/Natural-Stone-Crystal-Amethyst-Cluster-Quartz-Bracelet-Jewelry-Christmas-Gift/284023569489?hash=item42211fbc51:g:JJQAAOSwc65e8KKk,https://i.ebayimg.com/thumbs/images/g/JJQAAOSwc65e8KKk/s-l225.jpg
bracelet,Harry Potter Bracelet Gryffindor Slytherin Ravenclaw Hufflepuff House Badge Gift,£1.75 to £3.49,https://www.ebay.co.uk/itm/Harry-Potter-Bracelet-Gryffindor-Slytherin-Ravenclaw-Hufflepuff-House-Badge-Gift/292332314650?hash=item44105d201a:g:TJsAAOSwxmJfm3ne,https://i.ebayimg.com/thumbs/images/g/TJsAAOSwxmJfm3ne/s-l225.jpg
bracelet,Red String Bracelet Lucky Cord Charm Friendship Bead Kabbalah Chinese Buddhism,£2.75 to £3.95,https://www.ebay.co.uk/itm/Red-String-Bracelet-Lucky-Cord-Charm-Friendship-Bead-Kabbalah-Chinese-Buddhism/223653487097?hash=item3412c961f9:g:lD4AAOSwS0Jf-KOl,https://i.ebayimg.com/thumbs/images/g/lD4AAOSwS0Jf-KOl/s-l225.jpg
bracelet,Islamic ALLAH Bohemian Bracelet Boho Bangle Wristband Vintage Leather Rope - UK,£3.95 to £5.95,https://www.ebay.co.uk/itm/Islamic-ALLAH-Bohemian-Bracelet-Boho-Bangle-Wristband-Vintage-Leather-Rope-UK/183717583864?hash=item2ac66bdbf8:g:U1sAAOSw2Qtc988W,https://i.ebayimg.com/thumbs/images/g/U1sAAOSw2Qtc988W/s-l225.jpg
